,Item1,Item2,support,conf,lift
153,pottukadalai 500gm,gold winner refined sunflower oil 1l,0.03370506820671114,0.9609652235628104,23.92556241770389
154,toor dhal 500gm,britannia milk bikis biscuits rs.10,0.03069302001394006,0.665587044534413,21.313641094488986
155,toor dhal 500gm,tata salt 1kg,0.04628845962361844,1.0037786774628878,20.931117067759736
157,toor dhal 500gm,pacha pairu yellow 500gm,0.03289604699790899,0.7133603238866396,20.594402393944726
158,toor dhal 500gm,kadala parupu 500gm,0.039903415314149156,0.8653171390013494,21.042082389807632
159,toor dhal 500gm,pottukadalai 250gm,0.04330130439111819,0.9390013495276652,19.83779238139646
160,toor dhal 500gm,pottukadalai 500gm,0.03226127651100269,0.6995951417004048,19.94615758153915
162,toor dhal 500gm,toor dhal 1kg,0.05583490988748382,1.210796221322537,18.07846340939192
164,toor dhal 500gm,ulundu full white 1kg,0.0478069302001394,1.036707152496626,17.828167692677425
165,toor dhal 500gm,ulundu white broken 100gm,0.03282136811709648,0.711740890688259,19.195740222040108
166,toor dhal 500gm,jeeragam 50gm,0.033505924524544456,0.7265856950067475,18.978153797016294
167,toor dhal 500gm,jeeragam 100gm,0.0393682166683262,0.8537112010796221,19.34853955981415
170,toor dhal 500gm,pepper black 50gm,0.03288360051777357,0.7130904183535762,19.969514315859087
171,toor dhal 500gm,pepper black 100gm,0.030892163696106742,0.6699055330634278,19.44468574727169
172,toor dhal 500gm,vendiyam 100gm,0.039866075873742905,0.8645074224021592,18.394593311832384
174,toor dhal 500gm,sugar 1kg,0.09473016031066414,2.0542510121457487,17.96133891825422
175,toor dhal 500gm,gold winner refined sunflower oil 1l,0.03370506820671114,0.7309041835357624,18.197634249146976
177,toor dhal 1kg,tata salt 1kg,0.04628845962361844,0.6911354766771975,14.41178010333578
180,toor dhal 1kg,kadala parupu 500gm,0.039903415314149156,0.5958000371678127,14.488183470402765
181,toor dhal 1kg,pottukadalai 250gm,0.04330130439111819,0.6465341014681286,13.658989179162589
